method,drop_rate,repeat_id,best_val_auc,test_auc,test_ap
baseline,0.2,18,0.8819075637140756,0.8847469073521805,0.8361677746518369
baseline,0.2,19,0.8800784963997029,0.8785177731389416,0.8249292490012884
baseline,0.2,20,0.8742395794790422,0.8734921116231896,0.822754632213962
baseline,0.2,21,0.8658739546642191,0.8649917933817797,0.8017039715308921
baseline,0.2,22,0.8747318700351425,0.8765111310135509,0.8148703267958062
dropedge,0.2,18,0.8911157067783053,0.8934539518642468,0.8535568863323619
dropedge,0.2,19,0.8792086285327742,0.8788203952080089,0.8237907284113029
dropedge,0.2,20,0.8764804242119776,0.8743600133148549,0.8246689750006799
dropedge,0.2,21,0.887495056157955,0.8868222148003894,0.8364301604581452
dropedge,0.2,22,0.8636107598716937,0.8647728588234511,0.8136203009654714
fixed_remove,0.2,18,0.88294671437785,0.8846019039442458,0.8364934266144264
fixed_remove,0.2,19,0.8534878542399532,0.8523385985278785,0.7783931687069447
fixed_remove,0.2,20,0.8757500295012268,0.8738429276087492,0.8267295916650123
fixed_remove,0.2,21,0.8784417968725918,0.8760003926705586,0.837954687413599
fixed_remove,0.2,22,0.8825671119413108,0.8804242287994741,0.843417570955249
